DAY,TIME,STATE,CURED,DEATH,CONFIRMED
2020-03-07,6:00 PM,Tamil Nadu,0,0,1
2020-03-08,6:00 PM,Tamil Nadu,0,0,1
2020-03-09,6:00 PM,Tamil Nadu,0,0,1
2020-03-10,6:00 PM,Tamil Nadu,0,0,1
2020-03-11,6:00 PM,Tamil Nadu,0,0,1
2020-03-12,6:00 PM,Tamil Nadu,0,0,1
2020-03-13,6:00 PM,Tamil Nadu,0,0,1
2020-03-14,6:00 PM,Tamil Nadu,0,0,1
2020-03-15,6:00 PM,Tamil Nadu,0,0,1
2020-03-16,6:00 PM,Tamil Nadu,0,0,1
2020-03-17,6:00 PM,Tamil Nadu,0,0,1
2020-03-18,6:00 PM,Tamil Nadu,0,0,1
2020-03-19,6:00 PM,Tamil Nadu,1,0,2
2020-03-20,6:00 PM,Tamil Nadu,1,0,3
2020-03-21,6:00 PM,Tamil Nadu,1,0,3
2020-03-22,6:00 PM,Tamil Nadu,1,0,7
2020-03-23,6:00 PM,Tamil Nadu,1,0,9
2020-03-24,6:00 PM,Tamil Nadu,1,0,15
2020-03-25,6:00 PM,Tamil Nadu,1,0,18
2020-03-26,6:00 PM,Tamil Nadu,1,1,26
2020-03-27,10:00 AM,Tamil Nadu,1,1,29
2020-03-28,6:00 PM,Tamil Nadu,2,1,40
2020-03-29,7:30 PM,Tamil Nadu,4,1,49
2020-03-30,9:30 PM,Tamil Nadu,4,1,67
2020-03-31,8:30 PM,Tamil Nadu,4,1,74
2020-04-01,7:30 PM,Tamil Nadu,6,1,234
2020-04-02,6:00 PM,Tamil Nadu,6,1,234
2020-04-03,6:00 PM,Tamil Nadu,6,1,309
2020-04-04,6:00 PM,Tamil Nadu,6,2,411
2020-04-05,6:00 PM,Tamil Nadu,6,3,485
2020-04-06,6:00 PM,Tamil Nadu,8,5,571
2020-04-07,6:00 PM,Tamil Nadu,8,5,621
2020-04-08,5:00 PM,Tamil Nadu,19,7,690
2020-04-09,5:00 PM,Tamil Nadu,21,8,738
2020-04-10,5:00 PM,Tamil Nadu,21,8,834
2020-04-11,5:00 PM,Tamil Nadu,44,8,911
2020-04-12,5:00 PM,Tamil Nadu,44,10,969
2020-04-13,5:00 PM,Tamil Nadu,50,11,1075
2020-04-14,5:00 PM,Tamil Nadu,58,11,1173
2020-04-15,5:00 PM,Tamil Nadu,81,12,1204
2020-04-16,5:00 PM,Tamil Nadu,118,14,1242
2020-04-17,5:00 PM,Tamil Nadu,180,15,1267
2020-04-18,5:00 PM,Tamil Nadu,283,15,1323
2020-04-19,5:00 PM,Tamil Nadu,365,15,1372
2020-04-20,5:00 PM,Tamil Nadu,411,15,1477
2020-04-21,5:00 PM,Tamil Nadu,457,17,1520
2020-04-22,5:00 PM,Tamil Nadu,635,18,1596
2020-04-23,5:00 PM,Tamil Nadu,662,18,1629
2020-04-24,5:00 PM,Tamil Nadu,752,20,1683
2020-04-25,5:00 PM,Tamil Nadu,866,22,1755
2020-04-26,5:00 PM,Tamil Nadu,960,23,1821
2020-04-27,5:00 PM,Tamil Nadu,1020,24,1885
2020-04-28,5:00 PM,Tamil Nadu,1101,24,1937
2020-04-29,5:00 PM,Tamil Nadu,1168,25,2058
2020-04-30,5:00 PM,Tamil Nadu,1210,27,2162
2020-05-01,5:00 PM,Tamil Nadu,1258,27,2323
2020-05-02,5:00 PM,Tamil Nadu,1312,28,2526
2020-05-03,5:00 PM,Tamil Nadu,1341,29,2757
2020-05-04,5:00 PM,Tamil Nadu,1379,30,3023
2020-05-05,5:00 PM,Tamil Nadu,1409,31,3550
2020-05-06,8:00 AM,Tamil Nadu,1485,33,4058
2020-05-07,8:00 AM,Tamil Nadu,1516,35,4829
2020-05-08,8:00 AM,Tamil Nadu,1547,37,5409
